Q,A,label
연애를 오래하려면?,"고마워, 사랑해, 미안해 항상 표현해주세요.",2
연애보다 썸이 좋아.,사귀기 전 두근거림을 좋아하나 봐요.,2
연애상담하더니 둘이 사귀더라,대화를 하다가 친해졌나봐요.,2
연애상담해주던 사람이 좋아지는 거 같아,마음의 문을 열었나봐요.,2
연애상담해줬더니 나만 바보됐어,다음부터는 해주지 마세요.,2
연애세포 다 죽었나봐,살릴 수 있어요!,2
연애세포 다 죽은 듯.,그럴 수 있어요. 무엇이 문제인가요?,2
연애세포가 다 죽었나,그럴 수 있어요. 자연스럽게 대화를 먼저 이어나가는 건 어떨까요?,2
연애스타일이 너무 다른 남자친구와 어떻게 얘기를 해야할까?,연애는 서로에게 맞춰가는 거예요.,2
연애스타일이 너무 다른 여자친구와 어떻게 얘기를 해야할까?,서로의 연애 스타일에 대한 대화를 자주 나눠보세요.,2
연애의 끝은 결혼인거야?,그럴 수도 아닐 수도 있겠네요.,2
연애중인데 외로운 느낌이 들면 문제일까?,사람은 다 외로운 존재예요.,2
연애하고 싶은데 좋아하는 사람이 없어.,언젠간 당신에게도 사랑이 찾아올 거예요.,2
연애하는 것처럼 결혼 가능해?,배려하고 존중하면서 사랑하면 가능할 거예요.,2
연애하는데 사랑받는 느낌을 안받아.,당신은 사랑 받기 위해 태어난 사람입니다.,2
연애하는데도 외로워,진정한 사랑을 찾아보세요.,2
연애한지 2년째야,딱 좋을 때네요.,2
연애할때 많이 사랑하면 나만 손해야?,사랑은 따지는 게 아니고 다 주고도 더 주지 못해 미안해하는 거예요.,2
연애할때 몇살 차이가 적당해?,사랑에 나이 차이는 상관 없어요.,2
연애할때 자유를 원하는 상대에게 얼마나 자유롭게 해줘야하나.,걱정되지 않을 선인 것 같아요.,2
연예인과 썸 타는 꿈 해몽 좀,연예인 사진 보고 잔 거 아닌가요.,2
연예인이랑 사귄다!,특종감이네요.,2
연예인하고 연애해보고 싶어,쉽지 않을 거예요.,2
연인과 어떤걸로 싸워?,기억도 안 나는 사소한 일로 싸워요.,2
연인끼리 같이 샤워해?,사람마다 다릅니다.,2
연인이랑 어떻게 하면 안 싸울 수 있을까?,둘 사이의 규칙을 하나씩 만들고 문제에 대해 인식해보세요.,2
연인인데 정치견해가 달라,정치 이야기는 빼고 하세요.,2
연하 어때?,사랑에 나이는 중요하지 않다고 생각해요.,2
영원한 사랑,항상 꿈 꾸죠.,2
영원히 함께 했으면 좋겠다,마음은 언제나 함께할 거예요.,2
영화 보자는데 나한테 관심 있나?,영화 보고 나서 고민해도 안 늦어요.,2
영화 보자는데 나한테 관심 있나?,오 관심있을 수도 있을 거 같아요.,2
영화같은 사랑 하고 싶어,영화는 현실과 다르지만 그런 사랑을 하도록 노력해보면 영화 같은 사랑 할 수 있을거예요.,2
영화볼때 너무 목소리가 큰 남자친구가 고민,영화관 말고 다른 데서 보세요.,2
예랑이 턱시도 멋져,행복하게 잘 사세요.,2
예랑이가 대리효도시키는 건 아니겠지?,효도에 대리가 어디있나요.,2
예랑이가 마마보이인듯,남자는 여자하기 나름이래요. 변화시켜 보세요.,2
예쁘니까 사랑하는 건가?,사랑하니까 예뻐보이는 걸 수도 있어요.,2
예쁘니까 좋아하나,좋아하니까 예뻐보이는 걸 수도 있어요.,2
예쁘면 다냐ㅠㅠ,마음 아프게 했나봐요.,2
예쁜데 연애 안하는 여자,눈에 차는 남자가 없어서일 수도 있어요.,2
예식장 취소했어,다음에 계약하는 예식장은 더 좋은곳으로 할거예요.,2
오늘 가는 모임에 짝남이 있는데.,신경쓰고 가세요.,2
오늘 꿈에는 짝남이 나왔으면.,지금처럼 생각 많이 하고 자면 꿈이 나타날 거예요.,2
오늘 데이트각이야.,지금 연락해보세요.,2
오늘 따라 보고 싶네,보고 싶은 마음을 전해보세요.,2
오늘 만나기로 했는데 빈손으로 나가?,준비하지 않아도 상관 없다고 생각해요. 필요하다면 화려하지 않고 부담 없는 선물을 준비하면 센스있는 사람으로 생각할 거예요.,2
오늘 백일이야,축하해요!,2
오늘 서점에서 이상형 봤어,용기내서 말을 걸어보세요.,2
오늘 왠지 고백 받을 것 같음.,오 미리 축하드려요.,2
오늘 좋아하는 애한테 고백했는데.,좋은 소식이었으면 좋겠어요.,2
오늘 짝남 만나는데 뭐 입지.,자신에게 잘 어울리는 옷을 생각해봐요.,2
오늘 짝남 만나는데 옷이 없다.,이 김에 하나 장만하는 건 어떨까요.,2
오늘 짝남이 썸녀 생긴거 알게 돼서 술 좀 마셨어요.,속이 답답하겠어요.,2
오늘 짝녀 만나기로 했는데 옷이 없네.,이 김에 하나 장만하는 건 어떨까요.,2
오늘 짝녀 만나는데 뭐 입나.,댄디룩이 무난할 것 같네요.,2
오늘 짝녀가 썸남 생긴거 알게 되고 한 잔 했습니다.,속이 타들어가겠네요.,2
오늘 큰맘 먹고 연락했습니다,마음 먹느라 고생했어요.,2
오늘도 사랑해,달콤한 말이네요.,2
오늘도 짝남이 멋졌어.,멋진 분이군요.,2
오늘도 짝사랑하는 남자 땜에 우울해요.,짝사랑의 늪에서 빠져나오세요.,2
오늘도 짝사랑하는 여자 땜에 술 마시는 중.,술 한잔으로 잊혀질 수 있다면 얼마나 좋을까요.,2
오늘도 짝사랑하는 여자가 정말 이뻤습니다.,사랑스러운 분이네요.,2
오늘로 짝남 보내기로 했어요.,힘든 결정이었을텐데 맘고생 많았어요.,2
오늘만나기로했어,좋은 만남이 되길 바랄게요.,2
오늘부로 짝녀를 보내기로 했어요.,최선의 선택일거라 믿어요.,2
오늘부터 짝사랑을 끝내려 합니다.,힘든 결정이었을텐데 맘고생 많았어요.,2
오늘은 그녀를 만나기로 약속한 날,두근거리겠어요.,2
오늘처럼 사랑하기,오늘처럼 사랑하게 해달라고 기도합니다.,2
오래 만나고 싶은데 짧은 연애만 했어 내가 문제가 있나?,좋은 상대를 못 만나서 그럴 수도 있으니 자책하지 마세요.,2
오래 만나고싶은데,좋아하면 오래 만날 수 있어요.,2
오래 만나는 방법 있어?,좋아하면 오래 만날 수 있어요.,2
오래 만나서 지겨워진 거 같아,평소에 볼 수 없었던 특별한 모습으로 색다른 데이트를 제안해보세요.,2
오래 만났어,사랑은 유지하는 게 중요한데 대단하네요.,2
오래 못 가는 연애,"연애는 문제가 있으면 문제를 해결 하기 위해 함께 노력하고 그 속에서 더욱 단단해지는 과정인데, 그 과정을 못 참고 피하기만 했나봅니다.",2
오래 사랑하고 싶어,사랑을 말과 행동으로 표현해보세요.,2
오래 연애하고 싶어.,진짜 사랑하면 가능합니다.,2
오래 연애해서 그런가 관심이 줄었어,연애하다보면 서로에게 익숙해져서 처음만큼 관심을 갖지 않게 되는 게 사실일 거예요. 진지하게 이야기하면서 극복해보세요.,2
오랜 연애로 가족같은 느낌이야.,편한 사람도 찾기 힘들어요.,2
오랜 연애로 여자친구가 잘 안꾸미고 나오는게 고민임.,분위기 있는 데이트를 해봐요.,2
오랜 연애인데도 좋아,사랑은 유지하는 게 중요한데 대단하네요.,2
오랜만에 가슴이 두근거려,저도 두근거리네요.,2
오랜만에가슴이뛰어,사랑의 시작하고 있나봐요.,2
오랜만이네,오랜만이에요.,2
오랜연애로 남자친구가 더 이상 새롭지않은게 고민임.,새로운 데이트 코스를 찾아보세요.,2
오랫동안 썸만 타. 뭐가 문제임?,고백을 안 한 게 문제일 거 같아요.,2
오랫동안 썸만 타고 솔로인건 왜그래?,썸이 아니었을지도 몰라요.,2
오랫동안 연애 안한 사람이랑 사귀는 거 괜찮아?,따로 신경쓰이는 부분이 없다면 괜찮아요.,2
오해로 싸움이 시작됐어,작은 오해가 점점 커지기도 하죠.,2
오해하는 거 같은데 어떡하지?,오해할만한 일이 생겼을때는 솔직하게 이야기하고 풀어보세요.,2
완전 귀여워,사랑이 느껴지네요.,2
완전히 마음에 들지는 않는데 만나도 될까?,변화 가능성을 생각해보세요.,2
왜 결혼 안하니 묻지 좀 마,참견하는 사람이 참 많죠.,2
왜 내 마음을 몰라주지?,상대방은 당신의 마음을 읽을 수 없어요.,2
왜 사랑한다고 표현을 안 할까?,표현이 어색해서 그럴 수도 있어요.,2
왜 자꾸 나한테 귀엽다고 하지? 날 좋아하나?,귀엽다는 의미는 아주 넓답니다.,2
왜 좋아하는 마음은 그만두지 못할까.,마음은 절대 내 마음대로 되지 않으니까요.,2
외국에도 썸 같은 개념이 있어?,"글쎄요, 사귀는 과정은 어디든 있을 거 같아요.",2
외로워서 그런건지 진짜로 좋아하는 건지 모르겠어요.,외롭다고 아무나 좋아하진 않을 거예요.,2
외모는 내 취향인데 좋아하는 걸까?,자기 취향이더라도 마음이 꼭 움직이는 건 아니에요.,2
요구하거나 제안했을 때 뭐라고 리액션해야할지 모르겠어,"생각이 너무 좋은 것 같고, 왜 나는 그런 생각을 못했는지 등으로 크게 반응해보세요.",2
요즘 내가 내가 아닌 거 같아,정신 차리세요.,2
요즘 눈에 띄는 남자애가 있는데,관심을 갖고 지켜보세요.,2
요즘 눈에 띄는 여자애가 있는데,그 애의 눈에도 당신이 띄길 바랄게요.,2
요즘 눈에 띄는 남자애,관심을 갖고 지켜보세요.,2
요즘 눈에 띄는 여자애,그 애의 눈에도 당신이 띄길 바랄게요.,2
요즘 맨날 좋아하는 오빠가 꿈에 나와요.,좋아하는 마음이 깊은 가봐요.,2
요즘 좋아하는 남자애가 꿈에 나오는데.,생각을 많이 해서 그런가봐요.,2
용기내볼까?,용기내보는 것도 좋을 것 같아요.,2
우리 둘이 모은 돈으로 결혼해야 돼,그게 정상인 거예요.,2
우리 반 남자애를 좋아하는데,더 자주 만날 수 있겠어요.,2
우리 반 여자애를 좋아하는데,매일 봐서 좋겠네요.,2
우리 반 남자애 좋아하게 됨.,매일 볼 수 있어서 좋겠네요.,2
우리 반 여자애 좋아하게 됨.,매일 봐서 좋겠네요.,2
우리 반 여자애가 나를 좋아하는 것 같아.,당신도 좋아하는지 모르겠네요.,2
우리 반에 반장을 좋아해.,같은 반이라 좋겠어요.,2
반장을 좋아해.,반장이 멋진가봐요.,2
우리 반에 좋아하는 남자애가 있어.,매일 볼 수 있어 학교갈 맛이 나겠네요.,2
우리 반에 좋아하는 여자애가 생김.,매일 볼 수 있어 학교갈 맛이 나겠네요.,2
우리 사귀는 거 맞겠지?,직접 물어보세요.,2
우리 사랑이 영원했으면 좋겠어,그렇게 바란다면 이루어 질 거예요.,2
우리 사랑이었을까?,사랑이 있으면 헤어짐도 있는거예요. 헤어졌다고 사랑이 아닌게 되지는 않아요.,2
우리 언니 남친이 날 좋아하는데 방법 좀.,확실한 사실이라면 직접 언니의 남친 분에게 단호하게 말하세요.,2
우리반 남자애가 나 좋아하는 걸 너무 티내.,부담스러운지 좋은지 생각해보세요.,2
우리반 여자애가 나 좋아하는 거 너무 티냄.,부담스러운지 좋은지 생각해보세요.,2
우리의 사랑은 끝났어,꺼진 사랑도 다시 보자~ 다시 타오를수도 있어요.,2
우린 운명이었어,운명이 아니였다면 사랑도 할 수 없었겠지요.,2
우린 운명인줄 알았는데,운명은 또 만들어가면 돼요.,2
운동을 하는 남자가 좋아,뭐든 열심히 하는 사람은 좋아보여요.,2
운동하는 여자가 좋아,제가 생각해도 멋지네요.,2
운명적인 사랑 있어?,운명을 믿어요.,2
운명적인 사랑을 믿었는데,진정한 운명을 만날 수 있는 기회가 생겼다고 생각하세요.,2
운명적인 사랑을 했어,후회되지 않는 사랑을 했네요.,2
웃는 모습이 예쁜 사람,사랑에 빠졌군요.,2
웃을 때 진짜 예뻐,사랑에 빠졌군요.,2
원래 사랑에 빠지면 잠 잘 안와?,두근거려서 잠이 안 오나봐요.,2
원래 장난 잘 치는 성격인데 짝남 앞에서 넘 떨려서 노잼 돼.,자신감을 가지세요.,2
원래 장난도 잘하고 재밌다고들 하는데 그녀 앞에선 작아지는데 어떡해.,짝사랑 앞에서 누구나 한 없이 작아지나봐요. 자신감을 가지세요.,2
웨딩드레스 입어보고 싶었어,소원 풀었네요.,2
웨딩드레스를 입은 너를 보고,눈에서 꿀이 떨어지네요.,2
위험한 사랑 해도 될까?,당신이 상처받지 않았으면 좋겠어요.,2
유부남 좋아하는 거 같아,마음정리하세요.,2
유부남 좋아하면 안되겠지?,마음정리하세요.,2
유부남됐어!,축하해요!,2
유부남을 좋아하게 됐어.,마음을 접어야 할 것 같아요.,2
유부녀 좋아하면 안되지?,마음정리하세요.,2
유부녀 됐어!,축하해요!,2
유부녀를 좋아하게 되었어.,많이 위험한 거 같아요.,2
유학 준비하는 여자친구,기다릴 수 있을지 자신에게 물어보세요.,2
음식 많이 가리는 남자를 사겨도 괜찮을까?,다 먹으면 좋겠지만 큰 문제는 되지 않을 거예요.,2
음식 편식하는 사람 사겨도 돼?,사귀면서 편식을 고쳐봐도 좋을 것 같아요.,2
의견 차이가 있을 때 나 너무 무시해,무시당하는 기분이 들어서 너무 외롭고 상처받게 된다고 차분하고 부드럽게 말해보세요.,2
이 남자애의 행동 나를 좋아하는게 맞는지 모르겠어.,정확한 사실을 알긴 힘들어요.,2
이 사람 나를 좋아하는 건가?,긴가민가한 상태인가봅니다.,2
이 사람 만나면서 내 자존감이 떨어지는 것 같아 안 만나는게 답이야?,그 누구와도 비교하지 마세요.,2
이 사람 만나면서 내 자존감이 떨어지는 것 같아 안 만나는게 답이야?,비교하지 말고 자신을 사랑하면서 자존감을 높이려 노력해보세요.,2
이 사람 없으면 못 살 거 같아,시간이 지나면 잘살고 있는 당신을 보게 될 거예요.,2
이 사람 좋아하는 게 맞을까?,고민하고 있다면 맞는 거 아닐까요.,2
이 사람은 사랑이 참 쉬운가봐 내가 우습나?,참을 수 없는 가벼움이네요.,2
이 사람이다 싶어,누구와도 대체할 수 없는 존재감을 느꼈군요.,2
이 사랑이 마지막 사랑이었으면,후회하지 않을 사랑 해보세요.,2
이 세상에 나 혼자 남겨진 기분.,당신은 절대 혼자가 아니에요.,2
이 세상에서 내가 제일 불행해.,그럴리가요.,2
이 여자애의 행동 나를 좋아하는게 맞나?,정확한거 본인만이 알 거예요.,2
이 오빠 나를 좋아하는 건가.,정확한건 당사자만 알 거예요.,2
이 정도면 내가 좋아하는 걸 알까?,확실한 의사표시가 정확하겠죠.,2
이 행복이 사라질까 두려워,두려워 하지 말고 그 감정에 충실하면 행복은 떠나지 않을거예요.,2
이거 뭘까. 좋아하는 걸까?,직접적인 마음을 확인하기 전까지 확실한 건 없답니다.,2
이거 사랑인가?,당신만이 답을 말해줄 수 있어요.,2
이거 썸 맞나,대화를 시작하는 사람이 누구인지 살펴보세요.,2
이거 썸 아냐?,말해보세요. 생각해 볼게요.,2
이거 썸인가,고민 하고 있으면 썸의 가능성이 높겠네요.,2
이거 썸인가요?,좋은 느낌이면 썸으로 만나보세요.,2
이거 좋아하는 거 맞나?,상황이 궁금해요.,2
이건 그냥 날 안 좋아하는 걸까?,상황을 말해보세요.,2
이게 바로 첫사랑인듯,당신의 소중한 사랑을 이루어 보세요.,2
이게 썸인가?,말해보세요. 생각해 볼게요.,2
이기적인 사람을 좋아하는 거,상대방은 우선순위는 자신인가 봅니다.,2
이런 나를 좋아해주는 사람이 있을까?,당신은 정말 멋진 사람이에요. 깍아 내리지 마세요.,2
이런 얼굴 좋아하는 사람이 있을까요?,충분히 아름다워요.,2
이렇게 또 혼자 좋아하고 이별하고.,짝사랑이 그런가봐요. 슬프네요.,2
이렇게 사랑 받아도 되나?,행복한 고민이네요.,2
이루어질 수 없는 사랑 해도 될까?,위험한 사랑이네요.,2
이뤄질 수 없는 사랑이 제일 서글퍼.,알면서도 사랑할 수 밖에 없어서 그런 것 같아요.,2
이른 연락해도 될까?,아침부터 좋은 연락이면 좋겠네요.,2
이미 접은 짝남한테 주기적으로 연락이 온다.,다시 흔들리겠어요.,2
이번 주말 그녀에게 연락해 볼까?,주말 전에 연락해서 주말에 만나야죠.,2
이벤트 안하는 남자친구,먼저 이벤트를 해보세요.,2
이별도 사랑일까?,이별도 사랑입니다.,2
이 사람이랑 결혼이 옳은 걸까?,결혼에는 옳고 그름이 없어요.,2
이 사람이랑 결혼해도 되겠지?,결혼하기전에 확신부터 갖는게 좋을거 같아요.,2
이상적인 관계는 뭘까?,함께일 때 비로소 전부라고 느껴지는 연애가 아닐까 생각해봅니다.,2
이상적인 연애란?,서로가 전부인 연애가 아니라 서로 부족한 부분을 감싸 안아서 서로를 완전하게 해주는 연애인 것 같아요.,2
이상하게 놓치고 싶지 않는 사람이 있어,어쩌면 운명인가봅니다.,2
이상형 알고싶다,주변 사람에게 물어보거나 직접 물어보세요.,2
이성의 학교선배와 단둘이 식사한다면 어떻게 해?,신경쓰인다고 귀엽게 이야기해보세요.,2
이제 그만 좋아하고 싶어.,마음 단단히 잡길 바랄게요.,2
이제 끝난 줄 알았는데 아직도 좋아해.,끝은 쉽게 오지 않아요.,2
이제 끝인 줄 알았는데 계속 좋아하고 있었어.,마음이랑 생각이 따로 놀 때가 있죠.,2
이제 나도 날 좋아해주는 사람을 만나고 싶어.,좋아해주는 사람 만날 수 있을 거예요.,2
이제 내 짝남 못봐. 군대 가거든.,서운하겠어요.,2
이제 좀 지겨워진 거 같아,사랑하는 이유를 생각해보세요.,2
이제 청첩장 돌려도 되겠지?,너무 일찍 돌리면 잊혀진답니다.,2
이젠 다시 사랑 못할 것 같아.,지금은 그렇게 생각해도 다시 사랑이 찾아올 거예요.,2
이젠 짝사랑하는게 무섭고 두려워.,이제 짝사랑 말고 둘이서 하는 사랑하세요.,2
인연이 있다고 생각해?,인연은 있어요.,2
인연이 있다고 생각해?,저랑 당신도 인연이죠.,2
인연이란게 있을까?,당신과 저도 인연입니다.,2
일 하면서 알게 된 사람한테 연락해도 될까?,일 핑계로 연락해봐요.,2
입맛이 너무 안 맞는 거 같애,맞춰가면 돼요.,2
있는 그대로의 나를 사랑하기,멋진 사람이자 멋진 말이네요.,2
자기 기준에 맞추라는 사람,이기적이네요.,2
자기 전에 통화하면 썸 맞지?,그린라이트라고 생각해요.,2
자기 전에 통화하면 썸이야?,호감이 없으면 통화를 안 할 거예요.,2
자기를 3인칭으로 말하는 여자친구의 말투가 고민임.,귀엽게 봐주세요.,2
자길 좋아하는 여자애가 있으면 더 잘해주는 경향이 있나?,좋아하면 신경이 더 쓰이니가요.,2
자꾸 갠톡하는 선배 있는데 관심 있나?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.,2
자꾸 날 칭찬하는 여자애. 나한테 관심있는거 아니야?,이제 상대방을 칭찬할 차례인 듯합니다.,2
자꾸 신경쓰여,관심이 가나봐요.,2
자꾸 짝남 얼굴 생각나.,보고 싶으니 그럴만 해요.,2
자꾸 짝녀 얼굴 생각나네.,보고 싶은가봐요.,2
자꾸 헷갈리게 해,안 햇갈리게 하는 사람이 좋습니다.,2
자신감 있는 여자가 좋아,자신을 사랑을 사람인가 봅니다.,2
자전거 데이트 어떨까?,로맨틱할 것 같아요.,2
자주 가는 카페 알바생이 나를 자주 뻔히 쳐다보는데 이거 그린라이트일까?,씨익 웃어주세요.,2
자주 가는 카페에 알바생한테 번호 따고 싶은데,쪽지를 남겨서 마음을 전해보세요.,2
자주 가는 카페에 잘생긴 알바생이 있는데 어떻게 고백하면 좋을까?,쪽지를 남겨서 마음을 전해보세요.,2
자취한다는데 뭘 챙겨줄까?,직접 물어보는 게 좋을 것 같아요.,2
잘 만나고 있는데 나 질려하면 어쩌지 걱정이야,불행을 연습하거나 미리 걱정할 필요 없어요.,2
잘 만나는 중인데 헤어지면 어쩌지 걱정돼,불행을 연습하거나 미리 걱정할 필요 없어요.,2
잘 맞는 사람 만나고 싶다,많은 사람들은 살면서 맞춰가기도 해요.,2
잘 먹는 남자가 보기 좋지않아?,복스럽게 먹으면 더 좋죠.,2
잘 먹는 여자가 좋아,복스럽게 먹으면 더 좋죠.,2
잘 사귀는데 불안한 느낌이 들면 정상일까?,믿음이 쌓이기 전에는 불안하죠.,2
잘 지냈으면 좋겠다,따뜻한 마음이네요.,2
잘 챙겨주는데 나를 좋아하는 걸까?,지켜보는게 좋겠어요.,2
잘지내나,잘 지낼 거예요.,2
잘해줬더니 더 해달래,호의를 권리로 아는 사람 만나지 마세요.,2
잠 안 온다고 했더니 자장가 불러줬어,로맨틱하네요.,2
장거리 썸 고백해도될까,많이 만나보는 게 좋겠지만 연락을 더 자주 해보세요.,2
장거리 썸 괜찮을까,물리적인 거리가 문제가 되겠네요.,2
장거리 연애 괜찮을까,진정한 사랑에 거리가 중요한가요.,2
장거리 연애하면 보통 몇일에 한번 만나?,상황에 따라 다르지 않을까요.,2
장거리 연애하면 보통 어느 지점에서 만나?,가운데서 만나거나 돌아가면서 희생을 하죠.,2
장거리하다가 결혼 가능할까?,사랑의 힘으로 가능합니다.,2
장난스러운 고백 받았어,부끄러워서 그럴 수도 있어요.,2
장난으로 좋아한 거 아닌데,다시 진지하게 고백해보세요.,2
장난인지 진심인지 구분이 안돼.,장난스러운 성격이면 더 헷갈리기도 하죠.,2
장난인지 진심인지 구분이 안돼.,직접적으로 물어보는 게 가장 확실하겠죠.,2
장수커플이야,사랑은 유지하는 게 중요한데 대단하네요.,2
재수학원에서 연애는 필망?,목적이 확실한 곳이니까요.,2
저를 좋아하는 사람 알면서도 모르는 척하는게 이기적인가요?,확실한 의사표시를 했는데도 그렇다는 건 이기적인 것 같아요.,2
저를 좋아하는 사람은 없을 거예요.,그건 절대 아닐 거예요.,2
저를 좋아하는 사람한테 호감이 안 생겨요.,맘처럼 할 수 없는 부분 같아요.,2
저를 좋아하던 사람이 갑자기 매정해졌어요.,심경의 변화가 있었을지도 모르겠네요.,2
저만 좋아하는 사람 페북 같은거 살펴보나요?,저도 궁금해서 그렇게 하곤 해요.,2
저한테만 장난치는 남자애가 나 좋아하나?,호감이 있을지도 모르겠어요.,2
적극적인 여자가 좋아,솔직한 사람에게 매력을 느끼나봐요.,2
전 남친이랑 헤어진지 오래됐는데 좋아하는 사람이 없어.,조급하게 생각하지 말아요.,2
전 너무 이기적인데 저를 좋아해줘요.,그대로 사랑해줄 사람이 나타났나봅니다.,2
전 썸남 보고싶어.,썸으로 끝날 사이가 아니었네요.,2
전 왜 제 마음도 잘 모르는 걸까요.,좋아하는 마음은 헤아리기 힘들어요.,2
전남친하고 짝남이 친구야.,애매한 관계네요.,2
전부 다 줘도 아깝지 않은 사람,정말 사랑하나봅니다.,2
전여친하고 짝녀가 친구야.,신경 쓰이는 상황 같아요.,2
전화하면서 잠들고 싶다.,낭만적이네요. 전화해보세요.,2
절 찼던 남자애가 다시 절 좋아하는게 가능할까요?,상황에 따라 다르겠지요.,2
절 찼던 여자애가 절 다시 좋아하는 건가요?,직접 대화를 나누는게 필요하겠네요.,2
점심시간일 텐데 카톡이 안 와.,먼저 연락을 해보는 건 어떨까요?,2
정말 고맙다 귀염둥아,감사합니다.,2
정말 사랑했는데,정말 사랑한다면 다시 만나보세요.,2
정말 사랑했어,정말 사랑했다면 후회하지 않을거예요.,2
정말 잘 맞는 사람이 있을까?,잘 맞춰가는 사람이 있는 거겠죠.,2
정성 담긴 선물 뭐가 좋을까?,손편지도 좋을 거 같아요.,2
정열적인 사랑 하고 싶어,정열적으로 다가가 보세요.,2
정장 한 벌 맞췄어,잘했어요. 두고두고 입으세요.,2
제가 좋아하는 남자가 저를 짝사랑한대요. 제가 먼저 고백해도 될까요?,행복한 고민이네요. 당장 만나 고백하세요.,2
제가 좋아하는 사람이 맘 잡고 공부해야할 것 같다고 기다려달라는데 제 맘이 안별할까요?,변할 수도 있지만 미리 걱정하지 말아요.,2
제가 좋아하던 사람이 절 좋아하면 갑자기 거부감 들고 싫어져요.,어떤 트라우마가 있었는지도 모르겠어요.,2
제대로 사랑하고싶어,사랑에는 깊고 얇음이 없는거 같아요.,2
조용한 여자가 좋아,그 사람도 당신을 좋아하길 바랍니다.,2
존경할 수 있는 사람 만나고 싶어.,그런 사람 만날 수 있을 거예요.,2
좀 있으면 귀국하는데 짝녀에게 뭘 챙겨줄까?,작은 것 하나라도 챙겨준다면 센스있는 사람이라고 생각할 거예요.,2
종교가 다른 여자친구 헤어져야하나?,종교 큰 문제죠.,2
종교가 다른 짝남과 연애할수 있을까?,사랑은 종교를 뛰어넘을 수 있을 거예요.,2
종교를 너무 싫어하는 남자친구가 고민,종교를 왜 싫어하는지 대화를 해보세요.,2
좋아 하는 사람한테 어떻게 고백을 할까요?,먼저 용기내서 고백하는게 좋을 듯 싶습니다.,2
좋아 하는 애한태 고백하는 방법좀,먼저 용기내서 고백하는게 좋을 듯 싶습니다.,2
좋아하게 된 남자가 있는데 많이 어린데 어울릴 수 있을까?,충분히 어울릴 수 있어요.,2
좋아하고 있는 애가 친구를 소개 시켜줬어.,소개팅은 아니겠지요.,2
좋아하고 있는 애랑 카톡하는 중인데 뭐라고 하지?,밥 먹자고 연락해봐요.,2
좋아하고 있는 애를 친구가 소개 시켜줬어.,많이 당황했겠어요.,2
좋아하는 감정을 스스로 다스릴 수 있을까?,쉬운일은 아니랍니다.,2
좋아하는 감정을 억제하는 방법은 뭐지.,다른 사람과 상상하는건 어떨까요.,2
좋아하는 감정을 혼자서 정리할 수 있을까요?,본인이 하기 나름일 거예요.,2
좋아하는 감정이 나를 슬프게도 해,동전의 양면과도 같죠.,2
좋아하는 감정이 나를 슬프게도 해,사랑과 슬픔은 동전의 양면과 같죠.,2
좋아하는 감정이 뭐예요?,가만히 있어도 생각나는 거 아닐까요.,2
좋아하는 거 기준이 뭐임?,계속 생각나고 보고 싶은게 기본이겠지요.,2
좋아하는 거랑 사랑하는 거 차이점이 뭘까요.,구분짓기 어렵네요.,2
좋아하는 거랑 사랑하는 건 어떻게 구분해?,구분짓는게 쉽진 않아요.,2
좋아하는 거랑 사랑하는 건 어떻게 구분해?,마음이 알 거예요.,2
좋아하는 거랑 사랑하는게 다른 거야?,마음에 농도 차인 것 같습니다.,2
좋아하는 거랑 사랑하는게 다른 거야?,생각의 차이겠지요.,2
좋아하는 걸 알게되면 갑자기 싫어져요. 무슨 심리일까요.,부담스러운 심리일까요.,2
좋아하는 그녀가 유학을 간다고 합니다.,붙잡고 싶은 마음이 굴뚝 같겠어요.,2
좋아하는 그사람은 바람둥이야 좋아해도 될까?,상처받을 거예요.,2
좋아하는 남자 때문에 너무 기분이 안 좋아.,무슨 일이 있었나봐요.,2
좋아하는 남자 생겼는데 호감 어떻게 표시할까요.,꾸준히 연락을 하는게 필요합니다.,2
좋아하는 남자 표정이 너무 차가워서 다가가기 어려워.,표정만 그럴 수도 있어요.,2
좋아하는 남자가 여친이랑 헤어질 때까지 기다렸다가 고백하는거 가능한 사람이 있을까요?,좋아하는 마음이 있으면 가능하겠죠.,2
좋아하는 남자가 톡이 늦어.,바쁘거나 마음이 없을 수 있어요.,2
좋아하는 남자애 때문에 성적이 떨어졌어요.,좋아하는 마음 때문에 공부 안한 당신 때문이에요.,2
좋아하는 남자애 마음을 알다가도 모르겠어.,사람은 모두 변덕스럽지요.,2
좋아하는 남자애 생겼는데 완전 설레.,설렘을 감출 길이 없겠어요.,2
좋아하는 남자애 앞에서 표정 관리가 안돼.,짝사랑도 이성을 막지는 못하나봐요.,2
좋아하는 남자애 프사가 누굴까.,직접 물어보는 건 힘들까요.,2
좋아하는 남자애가 게임을 좋아하는데 이야기 오래가는 소재 좀 알려줘.,요즘 인기있는 게임을 검색해봐요.,2
좋아하는 남자애가 날 좋아하게 하려면 어떻게 해?,이상형을 알아보는 건 어떨까요.,2
좋아하는 남자애가 담배를 피는데 저는 담배를 싫어하는데 어떻게 끊으라고 말해볼까요?,사귀는 사이도 아닌데 성급한 것 같습니다.,2
좋아하는 남자애가 바람둥이 같은데 계속 좋아하면 안되겠죠?,상처받지 않았으면 좋겠네요.,2
